Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
154, 80.776, 44.7583, 130.71, 6, 0.0438626
155, 84.957, 45.1163, 130.71, 6, 0.0121986
156, 101.765, 45.3534, 130.708, 6, 0.104754
157, 82.692, 45.6576, 130.708, 6, 0.0416346
158, 100.29, 45.9576, 130.71, 6, 0.045544
159, 102.655, 46.2586, 130.708, 6, 0.050757
160, 95.72, 46.5086, 130.705, 6, 0.0952856
161, 101.444, 46.8128, 130.705, 6, 0.047337
162, 84.494, 47.0628, 130.705, 6, 0.0981254
163, 87.693, 47.3378, 130.705, 6, 0.0989594
164, 88.106, 47.5878, 131.378, 6, 0.123668
165, 105.665, 47.9378, 131.373, 6, 0.0444232
166, 91.045, 48.2139, 131.725, 6, 0.109701
167, 108.06, 48.4639, 131.725, 6, 0.163858
168, 90.294, 48.6875, 132.528, 6, 0.391721
169, 104.141, 48.8891, 132.778, 6, 0.301357
170, 106.033, 49.1849, 132.768, 7, 0.172416
171, 91.949, 49.4531, 132.768, 8, 0.0999845
172, 91.852, 49.67, 132.74, 9, 0.0318095
173, 85.828, 50.0458, 132.74, 9, 0.186514
174, 102.614, 50.297, 132.74, 9, 0.0615636
175, 98.533, 50.6479, 132.74, 9, 0.161086
176, 109.406, 50.8992, 132.74, 9, 0.0609408
177, 85.669, 51.1992, 132.74, 9, 0.089395
178, 110.093, 51.4492, 132.74, 9, 0.0393661
179, 87.065, 51.7041, 132.74, 9, 0.0406354
180, 104.759, 52.0541, 132.74, 9, 0.130877
181, 83.756, 52.4549, 132.74, 9, 0.177102
182, 88.64, 52.7799, 132.74, 9, 0.106346
183, 109.685, 53.0312, 132.738, 9, 0.0307598
184, 101.275, 53.2812, 132.738, 9, 0.0295035
185, 88.933, 53.5361, 132.738, 9, 0.0336521
186, 106.439, 53.8371, 136.205, 9, 0.0767677
187, 92.537, 53.8371, 137.743, 9, 0.0758675
188, 102.779, 54.4882, 139.015, 9, 0.104397
189, 112.732, 54.7923, 139.13, 9, 0.0813346
190, 124.327, 55.0616, 140.065, 9, 0.00548983
191, 105.403, 55.3616, 142.468, 9, 0.0369759
192, 117.381, 55.6226, 143.293, 9, 0.052785
193, 114.628, 55.8462, 143.17, 9, 0.0590649
194, 133.47, 56.1797, 144.355, 9, 0.0619505
195, 119.01, 56.4371, 144.135, 9, 0.0687659
196, 110.205, 56.6275, 144.84, 9, 0.112327
197, 108.285, 56.8788, 145.765, 9, 0.0233126
198, 100.468, 57.1398, 145.998, 9, 0.0487204
199, 98.197, 57.3302, 145.798, 9, 0.0986772
200, 117.278, 57.7255, 146.723, 9, 0.113405
201, 98.064, 57.9518, 146.463, 9, 0.0341133
202, 122.309, 58.2681, 147.243, 9, 0.0619142
203, 96.352, 58.4986, 148.225, 9, 0.119991
204, 115.212, 58.689, 148.225, 9, 0.266479
205, 105.611, 58.9026, 148.225, 9, 0.277429
206, 96.807, 59.1423, 148.173, 10, 0.294585
207, 103.334, 59.3845, 148.203, 11, 0.284941
208, 93.773, 59.5119, 148.203, 11, 0.293739
209, 117.207, 59.5369, 148.203, 11, 0.284118
210, 110.769, 59.8266, 148.898, 12, 0.288186
211, 112.683, 60.0624, 148.455, 12, 0.137747
212, 115.112, 60.2996, 147.993, 12, 0.0641074
213, 89.287, 60.6256, 148.973, 12, 0.0354056
214, 128.018, 60.9506, 149.833, 12, 0.0237251
215, 105.107, 61.1521, 149.375, 12, 0.109159
216, 114.927, 61.4071, 149.715, 12, 0.243405
217, 117.788, 61.7122, 149.715, 12, 0.0638653
218, 125.539, 61.9585, 150.133, 12, 0.049786
219, 119.686, 62.2605, 150.133, 12, 0.0484959
220, 114.91, 62.5616, 150.833, 12, 0.0375145
221, 110.324, 62.8308, 151.385, 12, 0.0478289
222, 115.376, 63.0821, 151.78, 12, 0.0317465
223, 105.212, 63.3321, 151.755, 12, 0.0280503
